Date,Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Demand Forecast,Price,Discount,Weather Condition,Holiday/Promotion,Competitor Pricing,Seasonal Tag,Supplier Lead Time (days),Product Rating,Return Rate,Stockout Indicator,Store Type,Customer Footfall
04-03-2022,S002,Strawberry Sundae,Electronics,South,336,77,103,132.31,401.71,37,Cloudy,1,399.05,Winter,11,4.7,0.061,0,Small,200
16-05-2022,S001,Pineapple Ice Cream,Groceries,East,103,74,122,131.84,336.97,3,Rainy,1,399.52,Winter,11,4.4,0.086,0,Large,351
04-03-2022,S001,Dairy Milk Chocolate,Electronics,South,463,307,48,288.2,391.18,3,Cloudy,1,427.03,Autumn,3,2.8,0.128,0,Medium,836
21-04-2022,S002,Cheese Crackers,Clothing,South,170,164,112,265.24,350.37,35,Rainy,1,324.01,Summer,1,1.3,0.12,0,Large,967
07-06-2022,S003,Mango Ice Cream,Clothing,North,321,147,195,213.07,213.03,50,Snowy,1,171.47,Autumn,5,4.1,0.006,0,Medium,638
31-05-2022,S002,Mint Choco Stick,Toys,East,239,46,91,53.33,55.19,2,Rainy,1,55.18,Winter,8,1.8,0.049,0,Large,973
26-05-2022,S001,Pineapple Ice Cream,Groceries,North,470,463,76,230.77,412.81,36,Rainy,0,366.47,Autumn,12,1.5,0.019,0,Large,156
21-06-2022,S005,Fruit Jelly Cup,Clothing,East,249,13,47,72.77,136.59,48,Snowy,1,113.65,Autumn,8,3.9,0.123,0,Medium,444
07-03-2022,S005,Dark Fantasy Cookie,Clothing,East,284,179,13,163.02,11.67,9,Sunny,0,13.28,Autumn,14,3.3,0.005,0,Large,561
26-04-2022,S005,Caramel Popcorn,Toys,East,429,209,158,246.91,378.13,35,Cloudy,0,424.48,Spring,7,2.9,0.111,0,Large,963
19-02-2022,S002,KitKat Bar,Clothing,South,156,130,176,285.01,263.97,4,Sunny,0,298.07,Autumn,10,1.3,0.03,0,Medium,456
13-02-2022,S003,Lays Chips,Toys,North,330,170,96,285.58,285.67,47,Snowy,0,283.37,Spring,11,1.5,0.044,0,Large,846
11-04-2022,S005,Choco Lava Cake,Electronics,North,157,53,83,186.96,304.71,37,Rainy,1,261.02,Spring,12,2.8,0.115,0,Small,696
12-03-2022,S002,Caramel Popcorn,Toys,South,268,166,82,230.56,134.4,22,Snowy,1,116.74,Winter,5,4.3,0.164,0,Small,476
28-04-2022,S005,Chocolate Donut,Clothing,East,343,3,69,90.89,397.98,6,Sunny,1,370.38,Autumn,1,2.1,0.199,0,Medium,528
08-06-2022,S002,Lays Chips,Groceries,East,236,173,79,190.43,202.96,6,Rainy,0,191.44,Autumn,11,3.3,0.159,0,Large,687
28-04-2022,S003,Coffee Crunch Bar,Clothing,West,191,152,17,126.79,82.73,36,Sunny,0,83.81,Spring,2,3,0.058,0,Large,126
06-06-2022,S002,Dark Fantasy Cookie,Toys,West,321,267,63,100.67,117.8,7,Rainy,1,130.93,Spring,11,2.5,0.05,0,Small,394
20-06-2022,S005,Mint Choco Stick,Electronics,West,266,167,102,128.49,205.01,2,Sunny,1,175.74,Winter,13,4.7,0.166,0,Small,93
03-02-2022,S005,Mango Ice Cream,Electronics,North,191,89,65,213.43,199.71,14,Sunny,1,203.68,Summer,6,1.6,0.09,0,Small,726
10-03-2022,S004,Oreo Biscuit,Clothing,North,482,203,143,291.69,290.65,18,Sunny,1,295.12,Winter,14,1.5,0.082,0,Small,843
10-02-2022,S003,Dark Fantasy Cookie,Groceries,East,178,120,64,134.55,145.12,17,Snowy,0,149.07,Autumn,1,1.4,0.109,0,Medium,391
02-01-2022,S003,Pineapple Ice Cream,Groceries,East,87,84,79,185.63,374.01,10,Rainy,0,429.86,Winter,11,1.5,0.161,0,Small,257
08-06-2022,S003,Butter Scotch Cup,Toys,South,366,248,188,221.65,118.34,6,Snowy,1,140.57,Spring,9,2.4,0.074,0,Large,644
17-02-2022,S004,Blueberry Muffin,Toys,South,68,49,106,230.4,110.52,31,Cloudy,1,104.38,Spring,9,2.3,0.132,0,Medium,506
25-01-2022,S005,Peanut Chikki Bar,Clothing,North,290,168,131,192.16,114.27,26,Cloudy,1,117.66,Spring,9,2.1,0.165,0,Large,596
11-05-2022,S001,Strawberry Sundae,Groceries,North,147,84,72,100.91,424.84,8,Rainy,0,496.27,Spring,9,1,0.157,0,Small,371
15-05-2022,S002,Oreo Biscuit,Toys,South,224,172,135,260.93,362.49,27,Cloudy,0,356.75,Winter,2,3.8,0.127,0,Small,329
23-06-2022,S004,KitKat Bar,Groceries,East,319,147,79,225.41,486.06,20,Snowy,0,534.86,Spring,7,1,0.14,0,Small,648
25-06-2022,S002,Caramel Popcorn,Toys,East,244,109,163,147.52,234.86,39,Cloudy,1,260.99,Summer,14,3.3,0.075,0,Medium,268
01-02-2022,S005,Peanut Chikki Bar,Clothing,East,90,38,26,234.16,166.8,37,Sunny,1,181.38,Summer,13,1.8,0.101,0,Small,711
20-05-2022,S004,Fruit Jelly Cup,Toys,East,355,100,183,143.69,17.79,16,Cloudy,0,20.98,Winter,1,2.3,0.168,0,Medium,826
29-05-2022,S005,Lays Chips,Electronics,East,150,15,74,161.66,238.42,42,Cloudy,1,197.5,Autumn,6,1.1,0.151,0,Large,115
03-02-2022,S002,Dark Fantasy Cookie,Clothing,South,455,145,162,267.66,175.38,32,Snowy,0,193.69,Winter,12,1.1,0.046,0,Small,455
30-01-2022,S005,Pineapple Ice Cream,Clothing,South,225,216,74,294.28,473.73,37,Rainy,0,392.03,Summer,6,3.2,0.193,0,Large,834
15-04-2022,S004,Blueberry Muffin,Electronics,South,440,355,127,79.37,395.96,16,Cloudy,0,372.72,Summer,2,3,0.2,0,Large,471
29-06-2022,S002,Mint Choco Stick,Electronics,North,271,28,133,268.28,257.05,19,Snowy,0,207.3,Spring,1,2.1,0.184,0,Small,386
18-05-2022,S001,Choco Lava Cake,Electronics,North,487,410,110,276.21,18.29,15,Cloudy,0,20.73,Autumn,11,4,0.105,0,Medium,360
27-03-2022,S003,Dairy Milk Chocolate,Groceries,North,84,13,60,85.88,43.69,37,Rainy,0,37.74,Autumn,8,1.5,0.051,0,Small,491
20-01-2022,S003,Dairy Milk Chocolate,Clothing,East,299,191,153,81.73,100.76,28,Cloudy,1,85.63,Summer,4,1.4,0.19,0,Medium,729
12-02-2022,S003,Pineapple Ice Cream,Clothing,South,392,343,136,83.89,394.12,13,Cloudy,1,426.58,Winter,3,2.2,0.163,0,Medium,142
13-06-2022,S001,Vanilla Cone,Electronics,South,331,53,46,50.24,486.43,0,Cloudy,0,448.9,Winter,7,4.7,0.054,0,Small,106
02-02-2022,S001,Mango Ice Cream,Clothing,South,358,97,40,146.88,239.66,31,Rainy,1,267.92,Winter,13,4.7,0.063,0,Medium,455
18-06-2022,S002,KitKat Bar,Electronics,West,216,71,124,284.37,293.79,0,Cloudy,1,309.32,Spring,9,1.7,0.002,0,Medium,504
10-01-2022,S002,Dairy Milk Chocolate,Clothing,North,463,139,86,270.34,205.43,38,Rainy,0,168.52,Autumn,13,4,0.154,0,Medium,917
30-03-2022,S005,Dark Fantasy Cookie,Groceries,East,432,428,197,181.68,400.84,21,Snowy,0,467.65,Spring,2,3.4,0.079,0,Large,560
03-06-2022,S001,Cheese Crackers,Clothing,East,319,136,123,270.35,436.55,26,Sunny,1,463.35,Spring,5,2.7,0.151,0,Small,256
