ds,yhat
2022-01-02,76.99996504804531
2022-01-03,91.99994797818516
2022-02-06,153.99998861251123
2022-03-01,107.99995266251449
2022-03-02,33.99995499398773
2022-03-04,77.00000641014759
2022-03-06,349.00000301303993
2022-04-04,30.99996834594549
2022-05-03,161.99998997193114
2022-05-05,356.99998627631743
2022-08-02,250.0000127791298
2022-08-04,287.00001155348076
2022-08-05,1.0000420045045075
2022-09-01,234.99992113574604
2022-09-02,508.9999487180505
2022-09-03,199.99995508252528
2022-09-05,190.9999092304182
2022-10-05,90.00002090546093
2022-11-01,133.00005778232526
2022-11-02,192.00005553536562
2022-11-04,83.00009326243207
2022-12-02,297.99998529487385
2022-12-04,243.99996456358178
2022-12-05,-1962.4674585655275
2022-12-06,-3783.0092395182355
2022-12-07,-4093.63014524748
2022-12-08,-4237.8407927149465
2022-12-09,-5076.485213532547
2022-12-10,-6594.569120533026
2022-12-11,-6518.929381554267
2022-12-12,-9220.604511115333
2022-12-13,-11376.619314224781
2022-12-14,-11847.389445506766
2022-12-15,-11965.237542768868
2022-12-16,-12584.619327672268
2022-12-17,-13689.221627400191
2022-12-18,-13009.763528068837
2022-12-19,-14926.355023659964
2022-12-20,-16130.124887212305
2022-12-21,-15500.326235029155
2022-12-22,-14392.418224095492
2022-12-23,-13687.732969877836
2022-12-24,-13399.90397295849
2022-12-25,-11291.90485931729
2022-12-26,-11777.573175099498
2022-12-27,-11582.353562598226
2022-12-28,-9619.492984047987
2022-12-29,-7277.211547290212
2022-12-30,-5467.4833452054
2022-12-31,-4231.62841423326
2023-01-01,-1356.5882179930575
2023-01-02,-1275.7811051231433
2023-01-03,-729.2912562590668
