ds,yhat
2022-01-05,53.99999743039251
2022-02-02,301.0000107916704
2022-03-03,269.00001216853923
2022-03-04,22.00001392605565
2022-03-06,142.00001213865343
2022-05-02,29.99998719169411
2022-05-03,299.99998750911084
2022-05-06,92.99999120372684
2022-06-05,28.99998936414009
2022-07-02,169.0000044316723
2022-07-03,29.000003940588527
2022-07-05,343.0000027088771
2022-08-05,353.0000177421241
2022-09-02,278.00001139276503
2022-09-06,394.0000085370127
2022-10-03,164.0000044991483
2022-10-04,169.00000509942234
2022-11-01,301.99999173752985
2022-11-02,42.999993126048196
2022-11-04,65.99999368458802
2022-11-05,239.06660798628695
2022-11-06,-91.50255677697805
2022-11-07,-313.5494218053563
2022-11-08,-185.59927684367636
2022-11-09,-596.4325030310049
2022-11-10,-385.2583156930855
2022-11-11,-825.5826708505675
2022-11-12,-746.8989113356616
2022-11-13,-1147.8004828289857
2022-11-14,-1414.7849251706207
2022-11-15,-1305.741278863004
2022-11-16,-1709.5236315659754
2022-11-17,-1466.106859116933
2022-11-18,-1850.4175345213962
2022-11-19,-1693.9699402701897
2022-11-20,-1997.9083584328564
2022-11-21,-2151.727113787402
2022-11-22,-1916.6631351056199
2022-11-23,-2185.166659884382
2022-11-24,-1800.9492256542271
2022-11-25,-2042.7051062879052
2022-11-26,-1745.6393165160043
2022-11-27,-1914.4064571919077
2022-11-28,-1941.7347958443754
2022-11-29,-1591.7330052672683
2022-11-30,-1759.2875071740148
2022-12-01,-1290.0514860523995
2022-12-02,-1464.1232028059
2022-12-03,-1117.5477141178644
2022-12-04,-1255.2467416840875
