ds,yhat
2022-01-05,4.000036101730643
2022-03-01,437.9999836008491
2022-04-02,134.9999465712392
2022-05-05,57.000046658913675
2022-05-06,425.000064292842
2022-07-02,118.99994210417412
2022-07-04,71.99998135568853
2022-07-06,371.0000212088677
2022-08-06,193.99999843246474
2022-11-03,151.00003214878075
2022-11-04,294.00005329462965
2022-12-02,179.00002151458852
2022-12-05,136.99997720674241
2022-12-06,1916.8097776133984
2022-12-07,-798.8860800744694
2022-12-08,-655.9999741716781
2022-12-09,-505.33335548647597
2022-12-10,219.84802098434102
2022-12-11,-252.98251737234978
2022-12-12,-1726.5989337423932
2022-12-13,-256.62220441090153
2022-12-14,-3222.960147586039
2022-12-15,-3263.259131556776
2022-12-16,-3221.9126737425304
2022-12-17,-2527.8112161829404
2022-12-18,-2951.253537246449
2022-12-19,-4294.9851716613475
2022-12-20,-2616.7862771672953
2022-12-21,-5300.836432779079
2022-12-22,-4991.030720157046
2022-12-23,-4539.796445455931
2022-12-24,-3385.600764288085
2022-12-25,-3309.577096146919
2022-12-26,-4126.244351009048
2022-12-27,-1905.7510219444628
2022-12-28,-4044.8819210273814
2022-12-29,-3200.0125734875373
2022-12-30,-2235.571344974785
2022-12-31,-601.2100198478706
2023-01-01,-88.12060109835079
2023-01-02,-519.4813783074528
2023-01-03,2027.527784940335
2023-01-04,150.8966238008884
