ds,yhat
2022-01-03,379.99999878266783
2022-01-04,130.99999286814813
2022-02-01,101.00000421535898
2022-02-02,97.00001086739108
2022-02-04,169.000016301217
2022-03-02,88.99999289802626
2022-03-04,135.9999846502577
2022-04-03,55.000012559921885
2022-05-05,81.00000215352908
2022-07-06,146.99998956885088
2022-08-01,381.0000043434699
2022-08-03,173.99999898642412
2022-08-06,241.9999905430439
2022-09-03,275.0000225448956
2022-09-04,47.00001871778808
2022-09-06,99.00001618012604
2022-10-02,75.99997444070172
2022-10-03,0.9999823582563465
2022-11-02,190.00000392027187
2022-11-03,336.00000071734127
2022-11-05,49.99999846332162
2022-11-06,-528.8053788995342
2022-11-07,-848.0780387848081
2022-11-08,-1186.1859986430097
2022-11-09,-1371.6276838372235
2022-11-10,-1308.2553887880192
2022-11-11,-1668.0353053242493
2022-11-12,-1704.1834866617528
2022-11-13,-2305.907045086527
2022-11-14,-2624.2415279929646
2022-11-15,-2936.094569860803
2022-11-16,-3068.8957363256177
2022-11-17,-2925.8669220374773
2022-11-18,-3178.8217648880777
2022-11-19,-3081.3319988416924
2022-11-20,-3523.4887727119353
2022-11-21,-3657.7488284230785
2022-11-22,-3762.9748441929023
2022-11-23,-3669.0693587195656
2022-11-24,-3282.216455704423
2022-11-25,-3277.6398239438877
2022-11-26,-2912.7156110183014
2022-11-27,-3081.66893537613
2022-11-28,-2941.3451181197324
2022-11-29,-2775.166416887082
2022-11-30,-2417.6754335632654
2022-12-01,-1779.6813701697788
2022-12-02,-1540.919935429115
2022-12-03,-963.0676457626308
2022-12-04,-944.3417905741267
2022-12-05,-645.1795447404168
