ds,yhat
2022-01-02,120.00001634872184
2022-01-03,125.99999292601376
2022-01-04,47.99999058979492
2022-01-05,258.99999922960427
2022-02-03,204.0000427047786
2022-02-05,39.00005245011036
2022-03-03,301.0000261930421
2022-04-04,160.00001692777468
2022-05-01,64.00002312072246
2022-05-02,12.000002630685117
2022-06-02,77.99998167467038
2022-07-03,169.99998804557703
2022-08-01,269.9999884032001
2022-09-04,212.99995293556606
2022-10-01,107.00001772662154
2022-11-01,94.9999913547698
2022-12-01,12.999987495504229
2022-12-04,19.00001137434026
2022-12-05,-846.8889981961452
2022-12-06,-1865.549670118623
2022-12-07,-2651.0290262039803
2022-12-08,-995.124051241448
2022-12-09,-4026.4338768582656
2022-12-10,-84.6591633661244
2022-12-11,-1871.378888848849
2022-12-12,-2969.009876864576
2022-12-13,-4176.287891116981
2022-12-14,-5101.318078299315
2022-12-15,-3530.977702004803
2022-12-16,-6590.082880925041
2022-12-17,-2615.7766814485167
2022-12-18,-4308.36685964814
2022-12-19,-5250.317351988606
2022-12-20,-6241.731818264911
2022-12-21,-6893.377207203344
2022-12-22,-4996.031176931204
2022-12-23,-7679.566645575967
2022-12-24,-3287.2330069885866
2022-12-25,-4526.365053147634
2022-12-26,-4987.226933503179
2022-12-27,-5478.333082183263
2022-12-28,-5619.298009202827
2022-12-29,-3210.0029096525727
2022-12-30,-5389.496574778457
2022-12-31,-510.0943295352024
2023-01-01,-1287.9101015990677
2023-01-02,-1321.5327906274965
2023-01-03,-1427.1923882351102
