ds,yhat
2022-01-02,471.9999950409185
2022-02-06,210.00013664875962
2022-03-06,63.99993745983102
2022-04-02,30.99992570041718
2022-04-03,294.9999385478768
2022-04-04,9.99997522186959
2022-05-05,63.99996799621863
2022-06-05,268.00004941902534
2022-08-01,202.99995786583213
2022-09-02,63.99993278195143
2022-11-05,83.99976863556276
2022-12-05,185.00000755879864
2022-12-06,-7499.420230020151
2022-12-07,-8143.703381492845
2022-12-08,-7109.6624079987905
2022-12-09,-5131.3772389597225
2022-12-10,-3207.5746837072666
2022-12-11,-2659.608028565919
2022-12-12,-2726.0268451937545
2022-12-13,-11231.757112176025
2022-12-14,-12621.717370970395
2022-12-15,-12234.53304351603
2022-12-16,-10783.401122133237
2022-12-17,-9249.045060194316
2022-12-18,-8938.19582743605
2022-12-19,-9078.576080149523
2022-12-20,-17488.396290796827
2022-12-21,-18610.179926289755
2022-12-22,-17784.574031799522
2022-12-23,-15731.194681024685
2022-12-24,-13441.447465926547
2022-12-25,-12236.762421304196
2022-12-26,-11363.226759017753
2022-12-27,-18660.633497944786
2022-12-28,-18595.77488655643
2022-12-29,-16535.651025201318
2022-12-30,-13227.65905932886
2022-12-31,-9691.720453064405
2023-01-01,-7277.804028771823
2023-01-02,-5259.846893702683
2023-01-03,-11504.110034081406
2023-01-04,-10501.815607842567
