Date,Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Demand Forecast,Price,Discount,Weather Condition,Holiday/Promotion,Competitor Pricing,Seasonal Tag,Supplier Lead Time (days),Product Rating,Return Rate,Stockout Indicator,Store Type,Customer Footfall
2022-03-04,S002,P0010,Electronics,South,336,77,103,132.31,401.71,37,Cloudy,1,399.05,Winter,11,4.7,0.061,0,Small,200
2022-05-16,S001,P0017,Groceries,East,103,74,122,131.84,336.97,3,Rainy,1,399.52,Winter,11,4.4,0.086,0,Large,351
2022-03-04,S001,P0002,Electronics,South,463,307,48,288.2,391.18,3,Cloudy,1,427.03,Autumn,3,2.8,0.128,0,Medium,836
2022-04-21,S002,P0014,Clothing,South,170,164,112,265.24,350.37,35,Rainy,1,324.01,Summer,1,1.3,0.12,0,Large,967
2022-06-07,S003,P0006,Clothing,North,321,147,195,213.07,213.03,50,Snowy,1,171.47,Autumn,5,4.1,0.006,0,Medium,638
2022-05-31,S002,P0015,Toys,East,239,46,91,53.33,55.19,2,Rainy,1,55.18,Winter,8,1.8,0.049,0,Large,973
2022-05-26,S001,P0017,Groceries,North,470,463,76,230.77,412.81,36,Rainy,0,366.47,Autumn,12,1.5,0.019,0,Large,156
2022-06-21,S005,P0019,Clothing,East,249,13,47,72.77,136.59,48,Snowy,1,113.65,Autumn,8,3.9,0.123,0,Medium,444
2022-03-07,S005,P0011,Clothing,East,284,179,13,163.02,11.67,9,Sunny,0,13.28,Autumn,14,3.3,0.005,0,Large,561
2022-04-26,S005,P0009,Toys,East,429,209,158,246.91,378.13,35,Cloudy,0,424.48,Spring,7,2.9,0.111,0,Large,963
2022-02-19,S002,P0007,Clothing,South,156,130,176,285.01,263.97,4,Sunny,0,298.07,Autumn,10,1.3,0.03,0,Medium,456
2022-02-13,S003,P0004,Toys,North,330,170,96,285.58,285.67,47,Snowy,0,283.37,Spring,11,1.5,0.044,0,Large,846
2022-04-11,S005,P0013,Electronics,North,157,53,83,186.96,304.71,37,Rainy,1,261.02,Spring,12,2.8,0.115,0,Small,696
2022-03-12,S002,P0009,Toys,South,268,166,82,230.56,134.4,22,Snowy,1,116.74,Winter,5,4.3,0.164,0,Small,476
2022-04-28,S005,P0018,Clothing,East,343,3,69,90.89,397.98,6,Sunny,1,370.38,Autumn,1,2.1,0.199,0,Medium,528
2022-06-08,S002,P0004,Groceries,East,236,173,79,190.43,202.96,6,Rainy,0,191.44,Autumn,11,3.3,0.159,0,Large,687
2022-04-28,S003,P0016,Clothing,West,191,152,17,126.79,82.73,36,Sunny,0,83.81,Spring,2,3.0,0.058,0,Large,126
2022-06-06,S002,P0011,Toys,West,321,267,63,100.67,117.8,7,Rainy,1,130.93,Spring,11,2.5,0.05,0,Small,394
2022-06-20,S005,P0015,Electronics,West,266,167,102,128.49,205.01,2,Sunny,1,175.74,Winter,13,4.7,0.166,0,Small,93
2022-02-03,S005,P0006,Electronics,North,191,89,65,213.43,199.71,14,Sunny,1,203.68,Summer,6,1.6,0.09,0,Small,726
2022-03-10,S004,P0005,Clothing,North,482,203,143,291.69,290.65,18,Sunny,1,295.12,Winter,14,1.5,0.082,0,Small,843
2022-02-10,S003,P0011,Groceries,East,178,120,64,134.55,145.12,17,Snowy,0,149.07,Autumn,1,1.4,0.109,0,Medium,391
2022-01-02,S003,P0017,Groceries,East,87,84,79,185.63,374.01,10,Rainy,0,429.86,Winter,11,1.5,0.161,0,Small,257
2022-06-08,S003,P0012,Toys,South,366,248,188,221.65,118.34,6,Snowy,1,140.57,Spring,9,2.4,0.074,0,Large,644
2022-02-17,S004,P0008,Toys,South,68,49,106,230.4,110.52,31,Cloudy,1,104.38,Spring,9,2.3,0.132,0,Medium,506
2022-01-25,S005,P0020,Clothing,North,290,168,131,192.16,114.27,26,Cloudy,1,117.66,Spring,9,2.1,0.165,0,Large,596
2022-05-11,S001,P0010,Groceries,North,147,84,72,100.91,424.84,8,Rainy,0,496.27,Spring,9,1.0,0.157,0,Small,371
2022-05-15,S002,P0005,Toys,South,224,172,135,260.93,362.49,27,Cloudy,0,356.75,Winter,2,3.8,0.127,0,Small,329
2022-06-23,S004,P0007,Groceries,East,319,147,79,225.41,486.06,20,Snowy,0,534.86,Spring,7,1.0,0.14,0,Small,648
2022-06-25,S002,P0009,Toys,East,244,109,163,147.52,234.86,39,Cloudy,1,260.99,Summer,14,3.3,0.075,0,Medium,268
2022-02-01,S005,P0020,Clothing,East,90,38,26,234.16,166.8,37,Sunny,1,181.38,Summer,13,1.8,0.101,0,Small,711
2022-05-20,S004,P0019,Toys,East,355,100,183,143.69,17.79,16,Cloudy,0,20.98,Winter,1,2.3,0.168,0,Medium,826
2022-05-29,S005,P0004,Electronics,East,150,15,74,161.66,238.42,42,Cloudy,1,197.5,Autumn,6,1.1,0.151,0,Large,115
2022-02-03,S002,P0011,Clothing,South,455,145,162,267.66,175.38,32,Snowy,0,193.69,Winter,12,1.1,0.046,0,Small,455
2022-01-30,S005,P0017,Clothing,South,225,216,74,294.28,473.73,37,Rainy,0,392.03,Summer,6,3.2,0.193,0,Large,834
2022-04-15,S004,P0008,Electronics,South,440,355,127,79.37,395.96,16,Cloudy,0,372.72,Summer,2,3.0,0.2,0,Large,471
2022-06-29,S002,P0015,Electronics,North,271,28,133,268.28,257.05,19,Snowy,0,207.3,Spring,1,2.1,0.184,0,Small,386
2022-05-18,S001,P0013,Electronics,North,487,410,110,276.21,18.29,15,Cloudy,0,20.73,Autumn,11,4.0,0.105,0,Medium,360
2022-03-27,S003,P0002,Groceries,North,84,13,60,85.88,43.69,37,Rainy,0,37.74,Autumn,8,1.5,0.051,0,Small,491
2022-01-20,S003,P0002,Clothing,East,299,191,153,81.73,100.76,28,Cloudy,1,85.63,Summer,4,1.4,0.19,0,Medium,729
2022-02-12,S003,P0017,Clothing,South,392,343,136,83.89,394.12,13,Cloudy,1,426.58,Winter,3,2.2,0.163,0,Medium,142
2022-06-13,S001,P0003,Electronics,South,331,53,46,50.24,486.43,0,Cloudy,0,448.9,Winter,7,4.7,0.054,0,Small,106
2022-02-02,S001,P0006,Clothing,South,358,97,40,146.88,239.66,31,Rainy,1,267.92,Winter,13,4.7,0.063,0,Medium,455
2022-06-18,S002,P0007,Electronics,West,216,71,124,284.37,293.79,0,Cloudy,1,309.32,Spring,9,1.7,0.002,0,Medium,504
2022-01-10,S002,P0002,Clothing,North,463,139,86,270.34,205.43,38,Rainy,0,168.52,Autumn,13,4.0,0.154,0,Medium,917
2022-03-30,S005,P0011,Groceries,East,432,428,197,181.68,400.84,21,Snowy,0,467.65,Spring,2,3.4,0.079,0,Large,560
2022-06-03,S001,P0014,Clothing,East,319,136,123,270.35,436.55,26,Sunny,1,463.35,Spring,5,2.7,0.151,0,Small,256
2022-03-20,S001,P0016,Toys,North,361,14,30,211.03,487.51,8,Sunny,0,462.54,Autumn,11,2.1,0.048,0,Large,83
2022-06-23,S001,P0003,Clothing,East,277,229,147,258.73,305.92,8,Rainy,0,278.24,Summer,5,2.6,0.16,0,Small,985
2022-04-01,S004,P0017,Toys,South,413,195,7,186.55,139.69,44,Sunny,1,164.47,Autumn,6,4.5,0.054,0,Medium,625
2022-03-15,S004,P0011,Electronics,South,189,63,33,101.95,155.03,49,Cloudy,0,164.96,Winter,7,1.1,0.041,0,Medium,874
2022-02-25,S005,P0015,Clothing,South,56,2,108,73.04,345.47,9,Snowy,1,403.51,Spring,8,1.1,0.031,0,Small,116
2022-01-26,S001,P0003,Groceries,North,445,224,83,59.36,467.72,10,Cloudy,0,492.43,Spring,2,1.6,0.132,0,Large,649
2022-02-01,S003,P0005,Toys,West,337,300,15,160.54,138.63,48,Sunny,0,156.02,Autumn,13,1.1,0.161,0,Small,83
2022-04-08,S002,P0014,Toys,West,490,287,175,113.72,36.64,22,Rainy,1,35.03,Winter,14,4.7,0.046,0,Small,894
2022-03-21,S004,P0020,Clothing,North,174,11,173,182.14,366.12,50,Snowy,0,304.26,Spring,1,3.2,0.008,0,Large,363
2022-02-26,S001,P0010,Toys,South,276,17,144,57.63,216.76,25,Rainy,1,190.13,Spring,12,2.8,0.149,0,Medium,703
2022-01-16,S005,P0003,Toys,North,99,10,190,230.78,21.02,1,Rainy,1,21.97,Summer,1,1.3,0.099,0,Medium,372
2022-04-04,S001,P0009,Groceries,West,200,62,32,160.04,487.04,9,Sunny,0,404.91,Autumn,2,1.3,0.018,0,Medium,820
2022-03-31,S003,P0001,Toys,East,52,17,197,167.23,272.71,9,Rainy,1,297.09,Winter,7,3.0,0.002,0,Large,189
2022-02-16,S004,P0002,Toys,East,51,6,197,82.72,40.67,5,Sunny,0,45.32,Spring,8,3.2,0.182,0,Small,739
2022-04-18,S003,P0011,Groceries,South,334,259,12,286.6,145.29,20,Rainy,0,138.13,Autumn,4,1.4,0.198,0,Medium,360
2022-01-31,S002,P0011,Electronics,North,89,57,99,263.63,361.39,21,Rainy,0,403.13,Spring,7,2.1,0.169,0,Medium,687
2022-03-05,S001,P0001,Groceries,North,435,300,30,233.47,218.81,24,Sunny,1,207.09,Spring,10,3.8,0.126,0,Large,183
2022-02-04,S003,P0010,Electronics,East,125,31,196,244.98,21.94,22,Rainy,1,22.59,Spring,11,4.4,0.195,0,Small,416
2022-01-20,S003,P0003,Groceries,West,229,142,154,194.3,438.67,2,Cloudy,0,509.56,Winter,12,4.1,0.091,0,Large,347
2022-02-08,S002,P0016,Electronics,East,373,68,178,253.35,109.07,32,Sunny,1,106.89,Summer,11,2.9,0.066,0,Medium,76
2022-06-09,S004,P0009,Electronics,South,106,63,38,297.44,377.68,15,Sunny,0,361.91,Spring,6,3.8,0.18,0,Large,520
2022-02-28,S001,P0020,Groceries,North,391,43,198,103.9,119.4,15,Cloudy,1,119.17,Autumn,14,4.6,0.148,0,Small,177
2022-01-11,S003,P0015,Toys,West,195,95,83,75.45,436.51,11,Snowy,1,476.04,Winter,14,1.1,0.188,0,Small,889
2022-03-15,S004,P0010,Clothing,East,421,26,185,61.08,182.36,16,Snowy,1,154.22,Autumn,7,3.8,0.05,0,Small,968
2022-03-03,S001,P0015,Electronics,West,487,31,145,298.91,332.59,38,Snowy,1,325.34,Autumn,7,3.3,0.073,0,Small,842
2022-03-15,S005,P0011,Groceries,North,383,54,171,195.94,311.08,25,Rainy,0,372.84,Summer,5,1.0,0.117,0,Small,895
2022-06-03,S001,P0001,Clothing,East,193,142,112,165.03,299.15,9,Sunny,1,349.47,Spring,3,1.9,0.199,0,Medium,1000
2022-02-14,S002,P0008,Clothing,North,150,107,124,157.69,228.32,44,Rainy,0,223.28,Autumn,3,4.2,0.134,0,Medium,612
2022-04-25,S004,P0007,Groceries,South,314,99,175,216.56,318.57,4,Snowy,0,328.96,Summer,7,1.5,0.188,0,Small,603
2022-01-16,S001,P0007,Clothing,West,348,106,104,180.78,254.93,6,Sunny,1,237.54,Spring,14,4.2,0.023,0,Medium,255
2022-03-28,S003,P0018,Groceries,East,65,40,161,122.8,55.81,10,Sunny,1,52.86,Summer,5,1.2,0.082,0,Medium,450
2022-03-03,S004,P0003,Toys,West,419,254,156,150.69,463.52,46,Cloudy,0,430.31,Autumn,11,1.2,0.063,0,Large,674
2022-04-12,S001,P0015,Clothing,South,368,19,40,225.73,68.82,34,Sunny,0,62.09,Summer,2,2.3,0.099,0,Large,665
2022-04-25,S004,P0006,Electronics,East,85,30,181,152.95,404.27,50,Rainy,1,462.48,Autumn,3,3.5,0.147,0,Medium,930
2022-06-28,S004,P0005,Clothing,West,117,21,184,147.34,316.87,34,Rainy,0,334.0,Spring,10,3.3,0.093,0,Large,902
2022-04-03,S005,P0001,Electronics,South,318,22,124,293.94,382.63,11,Cloudy,0,431.92,Summer,2,3.6,0.082,0,Large,437
2022-06-20,S005,P0011,Toys,South,319,240,4,174.7,402.9,45,Rainy,0,413.71,Spring,8,3.6,0.148,0,Medium,288
2022-02-25,S002,P0004,Groceries,West,71,53,171,156.35,269.2,11,Rainy,0,229.18,Summer,13,2.6,0.083,0,Medium,469
2022-05-24,S002,P0016,Groceries,North,327,140,96,189.61,212.42,30,Sunny,0,205.29,Winter,8,3.8,0.156,0,Medium,768
2022-04-14,S001,P0017,Toys,East,62,28,91,171.39,353.25,46,Cloudy,1,421.07,Autumn,7,2.1,0.128,0,Small,925
2022-06-25,S003,P0013,Electronics,East,449,375,24,113.8,306.51,2,Sunny,0,280.63,Spring,13,3.5,0.196,0,Large,290
2022-02-05,S005,P0005,Electronics,West,112,57,12,91.54,95.43,13,Cloudy,1,106.91,Autumn,7,3.1,0.182,0,Large,760
2022-06-22,S002,P0018,Electronics,West,87,64,72,291.34,380.9,31,Sunny,1,321.07,Spring,14,1.6,0.16,0,Small,851
2022-04-08,S003,P0020,Toys,East,190,53,110,264.17,124.25,26,Rainy,0,99.75,Summer,3,4.8,0.068,0,Small,613
2022-05-23,S005,P0006,Toys,West,175,67,165,75.49,322.66,12,Snowy,1,318.36,Winter,8,3.9,0.029,0,Small,454
2022-04-29,S001,P0007,Clothing,North,490,348,6,214.31,195.03,37,Snowy,0,181.26,Spring,2,1.3,0.156,0,Small,364
2022-05-15,S002,P0003,Toys,West,406,53,147,164.2,286.54,4,Sunny,0,257.01,Autumn,12,4.2,0.063,0,Medium,481
2022-02-09,S004,P0001,Clothing,South,345,164,44,122.63,366.17,47,Cloudy,1,427.03,Winter,4,4.0,0.009,0,Small,761
2022-04-11,S004,P0012,Toys,North,416,331,115,239.46,176.67,41,Rainy,1,165.79,Autumn,4,4.9,0.067,0,Medium,884
2022-04-25,S003,P0019,Toys,East,201,15,88,288.69,35.01,13,Snowy,0,32.13,Winter,3,2.9,0.11,0,Small,582
2022-06-12,S004,P0019,Toys,West,261,75,11,124.0,339.01,11,Sunny,0,350.56,Spring,6,4.1,0.185,0,Medium,642
2022-03-01,S005,P0005,Toys,East,233,51,30,234.43,443.55,0,Sunny,0,364.19,Spring,8,3.6,0.095,0,Small,615
