ds,yhat
2022-02-01,84.00000501168057
2022-02-04,107.00000031316632
2022-02-05,172.9999987186069
2022-02-06,-5.650190345818373e-06
2022-03-01,255.0000141513833
2022-03-05,71.00002480592264
2022-04-04,61.99997667411409
2022-04-05,40.99997436435003
2022-05-03,242.00000083965497
2022-05-04,53.000002113447785
2022-05-06,258.0000017412852
2022-06-01,54.000006049666794
2022-06-03,34.00000692478411
2022-07-04,271.99999999076863
2022-08-05,53.00000654625063
2022-08-06,174.00000571075523
2022-09-01,75.99999259914667
2022-09-06,62.99998740895293
2022-10-03,42.999989088314706
2022-10-04,275.99999298593906
2022-11-03,35.00001615325214
2022-12-03,166.00001153701928
2022-12-05,36.00001380857809
2022-12-06,29.00001474350892
2022-12-07,-406.8202944878214
2022-12-08,-751.2905997030588
2022-12-09,-646.1267106732023
2022-12-10,-780.458488393466
2022-12-11,-1131.3240887387244
2022-12-12,-773.9556647062849
2022-12-13,-692.1728260882744
2022-12-14,-1028.0279691538067
2022-12-15,-1263.5673068707183
2022-12-16,-1042.9318744280838
2022-12-17,-1057.8277590775467
2022-12-18,-1287.9586176636603
2022-12-19,-811.2471592364932
2022-12-20,-614.1634997987344
2022-12-21,-841.3061416996022
2022-12-22,-977.1010373233539
2022-12-23,-667.8445878266876
2022-12-24,-607.1213075025245
2022-12-25,-776.1905653978591
2022-12-26,-254.1702608810458
2022-12-27,-28.33631920643712
2022-12-28,-243.68451211970512
2022-12-29,-384.6205688521432
2022-12-30,-97.0046731640353
2022-12-31,-73.58105403838589
2023-01-01,-294.38679066282816
2023-01-02,163.03286375743926
2023-01-03,313.2845526616893
2023-01-04,13.51680271990869
2023-01-05,-218.3248119597119
