ds,yhat
2022-01-03,343.0000425288982
2022-03-06,44.00001451740917
2022-05-06,101.00007258352161
2022-07-03,1.0000133766426416
2022-07-05,19.999998416329163
2022-07-06,18.999970779760986
2022-08-02,67.99997284673083
2022-09-03,452.9999496577595
2022-09-05,61.999953830047275
2022-10-04,214.9999922822766
2022-12-01,425.00004586834376
2022-12-02,36.000080845349885
2022-12-05,350.00009655192594
2022-12-06,426.00005993896605
2022-12-07,365.51366225441586
2022-12-08,-5509.215969570212
2022-12-09,-5636.19420091335
2022-12-10,-1466.7674237439182
2022-12-11,-4149.757316135405
2022-12-12,-3965.432330055161
2022-12-13,-3287.5036086036266
2022-12-14,-2696.1964427064786
2022-12-15,-7886.161353347057
2022-12-16,-7312.900449391169
2022-12-17,-2445.35790355715
2022-12-18,-4449.553490801436
2022-12-19,-3622.069292813232
2022-12-20,-2351.590836877898
2022-12-21,-1231.566901403928
2022-12-22,-5967.763871762108
2022-12-23,-5024.400427378683
2022-12-24,123.48042315937903
2022-12-25,-1693.4829683051337
2022-12-26,-772.4012042591588
2022-12-27,500.2974036272901
2022-12-28,1536.0967226920752
2022-12-29,-3363.350800980434
2022-12-30,-2652.620941536127
2022-12-31,2204.783495563016
2023-01-01,52.557010937443124
2023-01-02,607.7368379437712
2023-01-03,1498.6799259667414
2023-01-04,2151.822315625791
2023-01-05,-3116.5370318689675
