ds,yhat
2022-01-04,150.00002064917305
2022-03-02,354.0000290407368
2022-03-03,296.99997726908225
2022-03-04,202.99997948820345
2022-05-02,482.000013304689
2022-05-05,383.9999892357997
2022-05-06,86.99998927435172
2022-06-01,136.00007151258592
2022-06-04,421.0000265229397
2022-08-01,2.9999726369264863
2022-08-05,95.99995985996748
2022-09-04,353.9999233034357
2022-10-01,25.999974658461724
2022-10-03,383.9999581439313
2022-11-03,78.999887727633
2022-11-05,198.99991719197442
2022-12-02,90.00000952577739
2022-12-05,43.00002489206781
2022-12-06,-4751.489880949506
2022-12-07,469.86334376238574
2022-12-08,262.1129434409622
2022-12-09,144.9499032873955
2022-12-10,3109.1250002201464
2022-12-11,3460.1924814741974
2022-12-12,2040.676311382041
2022-12-13,-1999.9760053656942
2022-12-14,3988.302107073075
2022-12-15,4534.224696111125
2022-12-16,5130.738618395753
2022-12-17,8742.292600583318
2022-12-18,9649.421280363811
2022-12-19,8671.719643597493
2022-12-20,4938.548249399267
2022-12-21,11083.400401193825
2022-12-22,11622.501780940118
2022-12-23,12040.84891528513
2022-12-24,15299.79903549782
2022-12-25,15681.832267686936
2022-12-26,14013.55546219235
2022-12-27,9436.286349470633
2022-12-28,14600.151934447204
2022-12-29,14042.2787850667
2022-12-30,13272.292902075365
2022-12-31,15279.256902224972
2023-01-01,14375.684031769648
2023-01-02,11419.719766922433
2023-01-03,5584.853375548664
2023-01-04,9553.118584025098
