ds,yhat
2022-01-02,299.99997365944864
2022-01-03,50.99999519848757
2022-02-02,34.99999390926121
2022-02-03,129.99997616993176
2022-02-05,67.99994044855544
2022-03-05,39.99994341561569
2022-03-06,106.99995934857247
2022-04-05,309.00000595375917
2022-05-02,56.99997071057592
2022-06-01,359.99999385248555
2022-06-02,135.99998030520896
2022-06-05,526.9999645018376
2022-07-01,44.999962379633445
2022-07-02,149.99995710958694
2022-07-03,174.99997035074983
2022-07-04,143.9999858200129
2022-07-05,93.0000009035293
2022-08-05,59.99996923979404
2022-09-01,253.99998974253066
2022-10-01,42.99995047727259
2022-10-03,305.9999755495294
2022-10-05,52.99997708589103
2022-11-01,302.00000682867926
2022-11-02,17.999999431601395
2022-12-01,16.999965768451602
2022-12-02,-1161.7627065999932
2022-12-03,448.149274332
2022-12-04,1999.4601397555414
2022-12-05,3496.1580974550907
2022-12-06,4953.918074239422
2022-12-07,5783.842092863982
2022-12-08,5972.529302942487
2022-12-09,4591.350021953717
2022-12-10,5923.505926358411
2022-12-11,7125.844942499162
2022-12-12,8207.498961151417
2022-12-13,9190.195857148123
2022-12-14,9491.876751565884
2022-12-15,9106.633421708346
2022-12-16,7113.84317160809
2022-12-17,7805.086261251867
2022-12-18,8345.817337449465
2022-12-19,8753.861757644847
2022-12-20,9059.590872893868
2022-12-21,8689.409561565271
2022-12-22,7645.573001043629
2022-12-23,5015.211767715536
2022-12-24,5097.151813069671
2022-12-25,5063.501866212424
2022-12-26,4938.079913712708
2022-12-27,4756.533238342489
2022-12-28,3949.785390976679
2022-12-29,2523.826851803591
2022-12-30,-431.2720477788632
2022-12-31,-614.54017053137
