ds,yhat
2022-01-02,85.99986425793634
2022-01-04,34.00014285113127
2022-01-06,36.99979231632767
2022-03-04,86.99985008905628
2022-04-01,258.99983782608933
2022-04-03,27.999990582648934
2022-04-06,180.0003405467719
2022-05-01,15.999802319724495
2022-06-03,58.99961847779059
2022-07-02,452.0002635187557
2022-08-04,52.999952325308186
2022-10-06,199.99979018863814
2022-10-07,2142.051319514323
2022-10-08,16491.863442079568
2022-10-09,2936.853974620695
2022-10-10,-14542.350915745214
2022-10-11,6203.323595935669
2022-10-12,6398.434231798234
2022-10-13,9265.54208644534
2022-10-14,11633.81880112195
2022-10-15,26331.28228763269
2022-10-16,13032.951590652934
2022-10-17,-4292.260164792642
2022-10-18,16493.944457805424
2022-10-19,16606.53805898355
2022-10-20,19259.950765405527
2022-10-21,21276.932346665762
2022-10-22,35481.03307431665
2022-10-23,21544.98558170763
2022-10-24,3437.799090041226
2022-10-25,23300.417601395093
2022-10-26,22353.13803722024
2022-10-27,23818.472350804026
2022-10-28,24530.03575857676
2022-10-29,37324.99499232907
2022-10-30,21892.354990313182
2022-10-31,2219.893007404983
2022-11-01,20469.590984309467
2022-11-02,17884.7631509034
2022-11-03,17712.565723529486
2022-11-04,16812.47554234841
2022-11-05,28048.278086076658
