Model,MAE,RMSE,Product
Prophet,1.7319252869458962e-05,1.9784938939081188e-05,Blueberry Muffin
ARIMA,50.330971580771354,63.92569616782224,Blueberry Muffin
LSTM,30.397991180419922,37.744046379652715,Blueberry Muffin
Prophet,2.815190304659154e-05,3.4014964262757115e-05,Butter Scotch Cup
ARIMA,72.02567266727482,91.64310732103593,Butter Scotch Cup
LSTM,139.74081420898438,182.51317375397863,Butter Scotch Cup
Prophet,9.344598055349707e-06,1.1950468833096354e-05,Caramel Popcorn
ARIMA,58.126996108623786,68.02762397602571,Caramel Popcorn
LSTM,87.19376373291016,94.07695071721872,Caramel Popcorn
Prophet,3.762309794830759e-05,4.561757763977621e-05,Cheese Crackers
ARIMA,88.41100749737096,111.1945661584562,Cheese Crackers
LSTM,102.99307250976562,125.46219238778669,Cheese Crackers
Prophet,1.8561227514218054e-05,2.0883010191537792e-05,Choco Lava Cake
ARIMA,103.52623794909653,132.2016259959937,Choco Lava Cake
LSTM,104.36986541748047,134.8409943229432,Choco Lava Cake
Prophet,2.6649940758549e-05,3.608331486742445e-05,Chocolate Donut
ARIMA,108.55194384597428,129.90176227743254,Chocolate Donut
LSTM,123.0926513671875,157.67427733899717,Chocolate Donut
Prophet,8.806464932575864e-06,9.707225096172672e-06,Chocolate IceCream
ARIMA,100.6106744962494,123.18714794624033,Chocolate IceCream
LSTM,116.89517974853516,144.0954476965702,Chocolate IceCream
Prophet,4.202843949282656e-05,5.024283425429737e-05,Coffee Crunch Bar
ARIMA,142.67681281263876,185.39094000870955,Coffee Crunch Bar
LSTM,167.86988830566406,209.24439956663116,Coffee Crunch Bar
Prophet,0.00015330750892933958,0.0001801073068983589,Dairy Milk Chocolate
ARIMA,,,Dairy Milk Chocolate
LSTM,102.65152740478516,115.24264906735917,Dairy Milk Chocolate
Prophet,1.6447742987380526e-05,2.1137055251053513e-05,Dark Fantasy Cookie
ARIMA,113.30676586220697,141.24094194566877,Dark Fantasy Cookie
LSTM,141.68844604492188,180.31239709702436,Dark Fantasy Cookie
Prophet,3.122290381273775e-05,4.4365036208353854e-05,Fruit Jelly Cup
ARIMA,137.3955916094912,159.464240480449,Fruit Jelly Cup
LSTM,104.40536499023438,151.58939194415947,Fruit Jelly Cup
Prophet,3.703656680424198e-05,4.6691467054730595e-05,KitKat Bar
ARIMA,129.66717601153994,148.28240362698185,KitKat Bar
LSTM,127.44161987304688,151.39692631250807,KitKat Bar
Prophet,3.430378421853675e-05,3.8972974214435176e-05,Lays Chips
ARIMA,63.04750699269373,126.93608876338898,Lays Chips
LSTM,85.34738159179688,121.6790251286145,Lays Chips
Prophet,9.950552967417198e-06,1.2389895946514518e-05,Mango Ice Cream
ARIMA,110.80903056584104,140.2157185665639,Mango Ice Cream
LSTM,94.68159484863281,127.07066962176992,Mango Ice Cream
Prophet,1.8712338688923563e-05,2.3568195095883593e-05,Mint Choco Stick
ARIMA,71.29774768689953,94.10827479419142,Mint Choco Stick
LSTM,85.87130737304688,103.5344947423925,Mint Choco Stick
Prophet,2.4768437325519698e-05,2.99887012877746e-05,Oreo Biscuit
ARIMA,111.29870177872726,142.45376512996867,Oreo Biscuit
LSTM,122.91851806640625,140.88668707067393,Oreo Biscuit
Prophet,0.0001873777615723308,0.00021353606760006523,Peanut Chikki Bar
ARIMA,74.16377307402944,102.77864219744616,Peanut Chikki Bar
LSTM,109.67980194091797,144.68803320636093,Peanut Chikki Bar
Prophet,2.9115529029510867e-05,3.519849413658852e-05,Pineapple Ice Cream
ARIMA,147.5062484140806,183.88701223830247,Pineapple Ice Cream
LSTM,135.7036590576172,171.15699458939736,Pineapple Ice Cream
Prophet,6.619800879548166e-05,8.938035318732932e-05,Strawberry Sundae
ARIMA,,,Strawberry Sundae
LSTM,79.33740997314453,100.90855815724947,Strawberry Sundae
Prophet,5.1490805777376636e-05,5.996717063609431e-05,Vanilla Cone
ARIMA,110.66776799121513,144.33174566764788,Vanilla Cone
LSTM,114.10205078125,162.09298787655806,Vanilla Cone
